Year,  Below Secondary,  Secondary,  Post-Secondary (Non-Tertiary),  Diploma & Professional Qualification,  University
2022 ,25.4,18.1,25.1,28.6,30
2021 ,32.3,21.6,28.4,32.3,32.2
2020 ,23.3,22.6,27.3,29.4,30.3
2019 ,26.9,20.2,27.3,26.5,26.7
2018 ,21.3,21.1,25.7,25.4,26.3
2017 ,21.5,22.6,23.7,24.8,26.1
2016 ,22.1,23.2,24.7,25,26.1
2015 ,21.3,21.4,24,26,25
2014 ,24,21.9,27.8,27.5,25.9
2013 ,21.9,22.2,27.6,26.5,26.7
2012 ,21.6,21.6,25.6,24.8,24.8
2011 ,19.4,22.6,24.9,26.8,24.5
2010 ,19.3,22,25,26.3,25.2
2009 ,21.1,21.3,24.2,26.1,22.7
2008 ,22.1,19.9,22.1,23.6,24.9
2007 ,21.6,19.6,24.8,24,22.5
2006 ,24,19.5,22.6,25.4,22.8
2005 ,20.6,20.5,21.3,23.9,23.9
2004 ,19.4,18.8,21.5,24.4,22.6
2003 ,21.9,20.2,23.4,24.5,23.3
2002 ,20.3,20,23.7,21.6,20.8
2001 ,19.6,18,19.8,20.6,22
2000 ,21.5,18.5,20.8,22.5,22.8
1999 ,21.9,18.5,20.5,22.5,21.8
1998 ,21.4,20.3,20.9,20.7,22.2
1997 ,21.3,19.8,20.6,23.2,20.6
1996 ,20.8,19.9,24.9,20.9,22.7
1995 ,21.9,20.5,23.2,23.4,25.2
1994 ,20.1,21.4,23.3,22.1,23.8
1993 ,20.4,22.5,25.7,25.7,25.1
1992 ,20.6,23.1,25.8,22.1,24.6
1991 ,18.5,22.4,26.4,23.9,25.9
1990 ,21.2,23.2,25.1,23.3,24.7